Year,Gruppe,Value
2012,,15.4
2013,,15.6
2014,,15.4
2015,,15.7
2016,,16.2
2017,,15.8
2018,,15.9
2012,Deutschland,15.0
2013,Deutschland,15.5
2014,Deutschland,15.4
2015,Deutschland,15.7
2016,Deutschland,15.7
2017,Deutschland,15.8
2018,Deutschland,15.5
2012,Alleinerziehende mit Kind(ern) SH,42.8
2013,Alleinerziehende mit Kind(ern) SH,50.9
2014,Alleinerziehende mit Kind(ern) SH,46.9
2015,Alleinerziehende mit Kind(ern) SH,46.1
2016,Alleinerziehende mit Kind(ern) SH,42.9
2017,Alleinerziehende mit Kind(ern) SH,35.8
2018,Alleinerziehende mit Kind(ern) SH,41.0
2012,Alleinerziehende mit Kind(ern) DE,41.9
2013,Alleinerziehende mit Kind(ern) DE,43.0
2014,Alleinerziehende mit Kind(ern) DE,41.9
2015,Alleinerziehende mit Kind(ern) DE,43.8
2016,Alleinerziehende mit Kind(ern) DE,43.6
2017,Alleinerziehende mit Kind(ern) DE,42.8
2018,Alleinerziehende mit Kind(ern) DE,41.5
2012,Paar mit drei oder mehr Kindern SH,19.6
2013,Paar mit drei oder mehr Kindern SH,21.5
2014,Paar mit drei oder mehr Kindern SH,24.5
2015,Paar mit drei oder mehr Kindern SH,27.0
2016,Paar mit drei oder mehr Kindern SH,31.3
2017,Paar mit drei oder mehr Kindern SH,34.9
2018,Paar mit drei oder mehr Kindern SH,31.3
2012,Paar mit drei oder mehr Kindern DE,23.5
2013,Paar mit drei oder mehr Kindern DE,24.3
2014,Paar mit drei oder mehr Kindern DE,24.6
2015,Paar mit drei oder mehr Kindern DE,25.2
2016,Paar mit drei oder mehr Kindern DE,27.4
2017,Paar mit drei oder mehr Kindern DE,29.1
2018,Paar mit drei oder mehr Kindern DE,30.0
2012,Migrationshintergrund SH,31.2
2013,Migrationshintergrund SH,31.9
2014,Migrationshintergrund SH,30.5
2015,Migrationshintergrund SH,33.5
2016,Migrationshintergrund SH,34.9
2017,Migrationshintergrund SH,36.0
2018,Migrationshintergrund SH,37.2
2012,Migrationshintergrund DE,26.3
2013,Migrationshintergrund DE,26.6
2014,Migrationshintergrund DE,26.7
2015,Migrationshintergrund DE,27.7
2016,Migrationshintergrund DE,28.0
2017,Migrationshintergrund DE,28.6
2018,Migrationshintergrund DE,27.2
2012,Ohne deutsche Staatsangehörigkeit SH,38.3
2013,Ohne deutsche Staatsangehörigkeit SH,42.4
2014,Ohne deutsche Staatsangehörigkeit SH,37.9
2015,Ohne deutsche Staatsangehörigkeit SH,39.9
2016,Ohne deutsche Staatsangehörigkeit SH,45.0
2017,Ohne deutsche Staatsangehörigkeit SH,50.0
2018,Ohne deutsche Staatsangehörigkeit SH,52.5
2012,Ohne deutsche Staatsangehörigkeit DE,31.5
2013,Ohne deutsche Staatsangehörigkeit DE,32.0
2014,Ohne deutsche Staatsangehörigkeit DE,32.5
2015,Ohne deutsche Staatsangehörigkeit DE,33.7
2016,Ohne deutsche Staatsangehörigkeit DE,35.5
2017,Ohne deutsche Staatsangehörigkeit DE,36.2
2018,Ohne deutsche Staatsangehörigkeit DE,34.8
