2011,,76.3
2012,,77.5
2013,,77.2
2014,,77.9
2015,,78.6
2016,,78.3
2017,,79.3
2011,Menschen mit Migrationshintergrund,66.9
2012,Menschen mit Migrationshintergrund,69.6
2013,Menschen mit Migrationshintergrund,67.8
2014,Menschen mit Migrationshintergrund,67.0
2015,Menschen mit Migrationshintergrund,68.7
2016,Menschen mit Migrationshintergrund,65.3
2017,Menschen mit Migrationshintergrund,64.0
2011,Männer mit Migrationshintergrund,72.9
2012,Männer mit Migrationshintergrund,77.5
2013,Männer mit Migrationshintergrund,77.0
2014,Männer mit Migrationshintergrund,73.7
2015,Männer mit Migrationshintergrund,76.9
2016,Männer mit Migrationshintergrund,72.3
2017,Männer mit Migrationshintergrund,68.2
2011,Frauen mit Migrationshintergrund,61.3
2012,Frauen mit Migrationshintergrund,62.3
2013,Frauen mit Migrationshintergrund,59.6
2014,Frauen mit Migrationshintergrund,60.8
2015,Frauen mit Migrationshintergrund,60.8
2016,Frauen mit Migrationshintergrund,58.1
2017,Frauen mit Migrationshintergrund,59.4
2011,Männer,81.1
2012,Männer,82.1
2013,Männer,82.4
2014,Männer,82.4
2015,Männer,83.1
2016,Männer,82.1
2017,Männer,82.6
2011,Frauen,71.5
2012,Frauen,72.8
2013,Frauen,72.0
2014,Frauen,73.4
2015,Frauen,74.2
2016,Frauen,74.5
2017,Frauen,76.0
