Year,Sektor,Value
2006,Haushalte,4203.865559
2007,Haushalte,3233.73399
2008,Haushalte,3908.374549
2009,Haushalte,3748.660912
2010,Haushalte,4006.079181
2011,Haushalte,3502.727514
2012,Haushalte,3595.387551
2013,Haushalte,3728.606141
2014,Haushalte,3230.654188
2015,Haushalte,3324.001786
2016,Haushalte,3458.075655
2017,Haushalte,3454.080691
2018,Haushalte,3444.294139
2019,Haushalte,3413.363847
2020,Haushalte,3534.156405
2021,Haushalte,3546.599211
2022,Haushalte,3060.936922
2023,Haushalte,2808.121941
1990,Verkehr,6174.005426
1995,Verkehr,6322.742164
2000,Verkehr,6363.780609
2003,Verkehr,5844.685158
2004,Verkehr,5775.204788
2005,Verkehr,5462.598589
2006,Verkehr,5290.157684
2007,Verkehr,5144.429776
2008,Verkehr,5122.651445
2009,Verkehr,5130.422169
2010,Verkehr,5150.05774
2011,Verkehr,5119.312943
2012,Verkehr,5131.61101
2013,Verkehr,5295.637593
2014,Verkehr,5334.703681
2015,Verkehr,5449.195823
2016,Verkehr,5574.638086
2017,Verkehr,5635.433712
2018,Verkehr,5459.866328
2019,Verkehr,5489.420247
2020,Verkehr,4981.205
2021,Verkehr,5018.762797
2022,Verkehr,5033.339433
2023,Verkehr,4971.785895
1990,Abfallwirtschaft,1211.161905
1995,Abfallwirtschaft,1125.735003
2000,Abfallwirtschaft,784.4029928
2003,Abfallwirtschaft,669.1294918
2004,Abfallwirtschaft,606.512727
2005,Abfallwirtschaft,590.8234921
2006,Abfallwirtschaft,537.6008737
2007,Abfallwirtschaft,503.475885
2008,Abfallwirtschaft,455.8295698
2009,Abfallwirtschaft,421.393607
2010,Abfallwirtschaft,389.7906255
2011,Abfallwirtschaft,369.5560811
2012,Abfallwirtschaft,344.2405872
2013,Abfallwirtschaft,319.4221832
2014,Abfallwirtschaft,298.2522474
2015,Abfallwirtschaft,272.6098623
2016,Abfallwirtschaft,258.3463497
2017,Abfallwirtschaft,245.7718587
2018,Abfallwirtschaft,212.6193596
2019,Abfallwirtschaft,158.0495787
2020,Abfallwirtschaft,115.3813255
2021,Abfallwirtschaft,86.82738544
2022,Abfallwirtschaft,75.83443216
2023,Abfallwirtschaft,77.22422574
1990,Landwirtschaft,6173.249323
1995,Landwirtschaft,5636.554733
2000,Landwirtschaft,5453.187586
2003,Landwirtschaft,5399.836575
2004,Landwirtschaft,5280.77196
2005,Landwirtschaft,5204.229874
2006,Landwirtschaft,5170.791817
2007,Landwirtschaft,5199.871696
2008,Landwirtschaft,5282.171391
2009,Landwirtschaft,5277.583165
2010,Landwirtschaft,5290.055598
2011,Landwirtschaft,5328.500636
2012,Landwirtschaft,5303.473757
2013,Landwirtschaft,5414.554653
2014,Landwirtschaft,5477.500012
2015,Landwirtschaft,5486.322199
2016,Landwirtschaft,5443.770124
2017,Landwirtschaft,5365.458827
2018,Landwirtschaft,5283.871696
2019,Landwirtschaft,5129.257974
2020,Landwirtschaft,5054.750185
2021,Landwirtschaft,4935.18638
2022,Landwirtschaft,4851.036925
2023,Landwirtschaft,4786.451881
