Year,Altersgruppe,Value
2017,TP ohne Kita 0 - 2 Jahre,2.203731652
2018,TP ohne Kita 0 - 2 Jahre,2.261956336
2019,TP ohne Kita 0 - 2 Jahre,2.402763761
2020,TP ohne Kita 0 - 2 Jahre,2.531744583
2021,TP ohne Kita 0 - 2 Jahre,2.753259054
2022,TP ohne Kita 0 - 2 Jahre,2.686247354
2023,TP ohne Kita 0 - 2 Jahre,3.367301728
2024,TP ohne Kita 0 - 2 Jahre,3.493662
2006,TP ohne Kita 3 - 5 Jahre,0.127283063
2007,TP ohne Kita 3 - 5 Jahre,0.146347099
2008,TP ohne Kita 3 - 5 Jahre,0.213798531
2009,TP ohne Kita 3 - 5 Jahre,0.33115703
2010,TP ohne Kita 3 - 5 Jahre,0.295801002
2011,TP ohne Kita 3 - 5 Jahre,0.287020008
2012,TP ohne Kita 3 - 5 Jahre,0.290144932
2013,TP ohne Kita 3 - 5 Jahre,0.352971195
2014,TP ohne Kita 3 - 5 Jahre,0.430012915
2015,TP ohne Kita 3 - 5 Jahre,0.430997451
2016,TP ohne Kita 3 - 5 Jahre,0.571820037
2017,TP ohne Kita 3 - 5 Jahre,0.400253081
2018,TP ohne Kita 3 - 5 Jahre,0.443562977
2019,TP ohne Kita 3 - 5 Jahre,0.462371399
2020,TP ohne Kita 3 - 5 Jahre,0.523319633
2021,TP ohne Kita 3 - 5 Jahre,0.664326899
2022,TP ohne Kita 3 - 5 Jahre,0.615092572
2023,TP ohne Kita 3 - 5 Jahre,0.730542287
2024,TP ohne Kita 3 - 5 Jahre,0.707752213
