Year,Soziodemografische Merkmale,Value
2008,Geringqualifizierte SH,30.3
2009,Geringqualifizierte SH,31.6
2010,Geringqualifizierte SH,32.0
2011,Geringqualifizierte SH,32.8
2012,Geringqualifizierte SH,33.7
2013,Geringqualifizierte SH,32.5
2014,Geringqualifizierte SH,32.6
2015,Geringqualifizierte SH,34.3
2016,Geringqualifizierte SH,34.8
2017,Geringqualifizierte SH,33.6
2018,Geringqualifizierte SH,35.8
2019,Geringqualifizierte SH,35.0
2020,Geringqualifizierte SH,35.3
2021,Geringqualifizierte SH,33.2
2022,Geringqualifizierte SH,31.2
2023,Geringqualifizierte SH,31.8
2024,Geringqualifizierte SH,34.0
2005,Ohne deutsche Staatsangehörigkeit SH,44.2
2006,Ohne deutsche Staatsangehörigkeit SH,37.7
2007,Ohne deutsche Staatsangehörigkeit SH,39.6
2008,Ohne deutsche Staatsangehörigkeit SH,40.2
2009,Ohne deutsche Staatsangehörigkeit SH,43.9
2010,Ohne deutsche Staatsangehörigkeit SH,42.4
2011,Ohne deutsche Staatsangehörigkeit SH,40.2
2012,Ohne deutsche Staatsangehörigkeit SH,38.3
2013,Ohne deutsche Staatsangehörigkeit SH,42.4
2014,Ohne deutsche Staatsangehörigkeit SH,37.9
2015,Ohne deutsche Staatsangehörigkeit SH,39.9
2016,Ohne deutsche Staatsangehörigkeit SH,45.0
2017,Ohne deutsche Staatsangehörigkeit SH,50.0
2018,Ohne deutsche Staatsangehörigkeit SH,52.5
2019,Ohne deutsche Staatsangehörigkeit SH,48.3
2020,Ohne deutsche Staatsangehörigkeit SH,48.8
2021,Ohne deutsche Staatsangehörigkeit SH,43.6
2022,Ohne deutsche Staatsangehörigkeit SH,38.4
2023,Ohne deutsche Staatsangehörigkeit SH,40.9
2024,Ohne deutsche Staatsangehörigkeit SH,45.0
2005,Mit Migrationshintergrund SH,34.9
2006,Mit Migrationshintergrund SH,32.7
2007,Mit Migrationshintergrund SH,32.2
2008,Mit Migrationshintergrund SH,32.2
2009,Mit Migrationshintergrund SH,35.7
2010,Mit Migrationshintergrund SH,33.4
2011,Mit Migrationshintergrund SH,32.1
2012,Mit Migrationshintergrund SH,31.2
2013,Mit Migrationshintergrund SH,31.9
2014,Mit Migrationshintergrund SH,30.5
2015,Mit Migrationshintergrund SH,33.5
2016,Mit Migrationshintergrund SH,34.9
2017,Mit Migrationshintergrund SH,36.0
2018,Mit Migrationshintergrund SH,37.2
2019,Mit Migrationshintergrund SH,35.1
2020,Mit Migrationshintergrund SH,35.4
2021,Mit Migrationshintergrund SH,31.2
2022,Mit Migrationshintergrund SH,31.6
2023,Mit Migrationshintergrund SH,31.9
2024,Mit Migrationshintergrund SH,33.5
2005,Insgesamt früheres Bundesgebiet (ohne Berlin),14.8
2006,Insgesamt früheres Bundesgebiet (ohne Berlin),14.2
2007,Insgesamt früheres Bundesgebiet (ohne Berlin),14.3
2008,Insgesamt früheres Bundesgebiet (ohne Berlin),14.5
2009,Insgesamt früheres Bundesgebiet (ohne Berlin),14.8
2010,Insgesamt früheres Bundesgebiet (ohne Berlin),14.7
2011,Insgesamt früheres Bundesgebiet (ohne Berlin),15.2
2012,Insgesamt früheres Bundesgebiet (ohne Berlin),15.4
2013,Insgesamt früheres Bundesgebiet (ohne Berlin),15.9
2014,Insgesamt früheres Bundesgebiet (ohne Berlin),16.0
2015,Insgesamt früheres Bundesgebiet (ohne Berlin),16.2
2016,Insgesamt früheres Bundesgebiet (ohne Berlin),16.2
2017,Insgesamt früheres Bundesgebiet (ohne Berlin),16.4
2018,Insgesamt früheres Bundesgebiet (ohne Berlin),16.1
2019,Insgesamt früheres Bundesgebiet (ohne Berlin),16.4
2020,Insgesamt früheres Bundesgebiet (ohne Berlin),16.6
2021,Insgesamt früheres Bundesgebiet (ohne Berlin),17.4
2022,Insgesamt früheres Bundesgebiet (ohne Berlin),17.2
2023,Insgesamt früheres Bundesgebiet (ohne Berlin),16.8
2024,Insgesamt früheres Bundesgebiet (ohne Berlin),16.6
2005,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),40.5
2006,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),38.6
2007,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),41.2
2008,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),41.2
2009,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),41.4
2010,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),40.5
2011,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),43.7
2012,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),43.5
2013,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),44.6
2014,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),44.5
2015,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),45.8
2016,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),45.3
2017,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),44.1
2018,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),43.2
2019,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),44.6
2020,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),41.6
2021,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),42.9
2022,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),44.2
2023,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),42.9
2024,Alleinerziehende mit Kind/ern früheres Bundesgebiet (ohne Berlin),42.4
2005,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),27.5
2006,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),25.5
2007,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),25.1
2008,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),26.0
2009,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),25.8
2010,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),24.9
2011,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),23.9
2012,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),25.0
2013,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),26.0
2014,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),26.6
2015,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),26.0
2016,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),28.5
2017,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),30.2
2018,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),31.2
2019,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),32.4
2020,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),32.8
2021,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),32.8
2022,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),32.7
2023,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),30.7
2024,Paar mit drei oder mehr Kindern früheres Bundesgebiet (ohne Berlin),28.6
2005,Erwerbslose früheres Bundesgebiet (ohne Berlin),47.9
2006,Erwerbslose früheres Bundesgebiet (ohne Berlin),48.2
2007,Erwerbslose früheres Bundesgebiet (ohne Berlin),52.0
2008,Erwerbslose früheres Bundesgebiet (ohne Berlin),55.1
2009,Erwerbslose früheres Bundesgebiet (ohne Berlin),51.7
2010,Erwerbslose früheres Bundesgebiet (ohne Berlin),52.3
2011,Erwerbslose früheres Bundesgebiet (ohne Berlin),57.0
2012,Erwerbslose früheres Bundesgebiet (ohne Berlin),57.8
2013,Erwerbslose früheres Bundesgebiet (ohne Berlin),56.7
2014,Erwerbslose früheres Bundesgebiet (ohne Berlin),55.9
2015,Erwerbslose früheres Bundesgebiet (ohne Berlin),56.9
2016,Erwerbslose früheres Bundesgebiet (ohne Berlin),55.1
2017,Erwerbslose früheres Bundesgebiet (ohne Berlin),55.3
2018,Erwerbslose früheres Bundesgebiet (ohne Berlin),56.0
2019,Erwerbslose früheres Bundesgebiet (ohne Berlin),56.4
2020,Erwerbslose früheres Bundesgebiet (ohne Berlin),49.3
2021,Erwerbslose früheres Bundesgebiet (ohne Berlin),47.5
2022,Erwerbslose früheres Bundesgebiet (ohne Berlin),47.4
2023,Erwerbslose früheres Bundesgebiet (ohne Berlin),48.8
2024,Erwerbslose früheres Bundesgebiet (ohne Berlin),47.4
2005,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),24.7
2006,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),24.0
2007,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),25.7
2008,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),26.8
2009,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),27.5
2010,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),28.5
2011,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),30.1
2012,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),30.6
2013,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.0
2014,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.6
2015,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),33.0
2016,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.5
2017,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),33.2
2018,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.9
2019,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),33.9
2020,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),31.6
2021,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),33.2
2022,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.0
2023,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),31.7
2024,Geringqualifizierte früheres Bundesgebiet (ohne Berlin),32.0
2005,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),35.3
2006,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),33.6
2007,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),33.7
2008,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),32.6
2009,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),32.9
2010,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),32.6
2011,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),32.7
2012,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),32.6
2013,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),33.0
2014,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),33.6
2015,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),34.2
2016,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),36.0
2017,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),36.5
2018,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),35.3
2019,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),35.5
2020,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),36.1
2021,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),35.9
2022,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),35.2
2023,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),34.8
2024,Ohne deutsche Staatsangehörigkeit früheres Bundesgebiet (ohne Berlin),33.8
2005,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),29.0
2006,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.8
2007,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.8
2008,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.2
2009,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.7
2010,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.2
2011,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.2
2012,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.5
2013,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.5
2014,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.9
2015,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.3
2016,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.5
2017,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),29.0
2018,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.8
2019,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.2
2020,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.3
2021,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.6
2022,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),28.0
2023,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),27.3
2024,Mit Migrationshintergrund früheres Bundesgebiet (ohne Berlin),26.4
